,title,company,skills
198,استخدام توسعه‌دهنده Front- End,Dosma,"['React Native', 'React JSX', 'Node.js', 'React']"
199,استخدام برنامه‌نویس Vue.js) Front-end),ارجاوند,"['Vue.js', 'Vuetify.js', 'JavaScript', 'Axios', 'Nuxt.js']"
200,استخدام برنامه‌نویس بک اند جاوا,رایان بورس,"['Java', 'Unit Testing', 'Microservices']"
201,استخدام طراح وبسایت و توسعه‌دهنده آن,afagh nasim danesh,"['PHP', 'WordPress', 'Java', 'HTML', 'SEO']"
202,استخدام Android Developer,افراپویش تیام,"['Android Studio', 'Java', 'OOP', 'MVVM', 'Clean Architecture']"
203,استخدام برنامه‌نویس ارشد جاوا,مامان‌پز,"['Java', 'Spring', 'MongoDB', 'Spring MVC', 'Solid Principles']"
204,استخدام برنامه‌نویس اندروید,کارآفرینی سرمایه پرداز نارون,"['Android', 'Kotlin', 'Java', 'MVVM', 'MVP pattern']"
205,استخدام توسعه‌دهنده Front-end,آرین,"['Python', 'JavaScript', 'HTML', 'jQuery', 'CSS']"
206,استخدام Product Owner,Domil,"['Jira', 'Scrum', 'Power BI', 'Analysis', 'Splunk']"
207,استخدام Junior Back-end Developer,Domil,"['Node.js', 'Scrum']"
208,استخدام توسعه‌دهنده جاوا,شرکت کاروان ایرانیان نواندیش (کاینو),['Java']
209,استخدام توسعه‌دهنده فرانت اند,باغ بازار,"['Next.js', 'React', 'Bootstrap Vue']"
210,استخدام Product Owner,راهکارهای نوآورانه وصل,"['Scrum', 'Project Planning', 'Jira', 'Agile']"
211,استخدام Cloud Engineer,راهکارهای نوآورانه وصل,"['Kubernetes', 'TCP/IP', 'Docker', 'OpenStack', 'Ceph']"
212,استخدام senior Back-end Developer (Django),گروه مالی دارایا,"['Python', 'Django', 'SQL', 'NoSQL', 'Back-end']"
213,استخدام Junior Android Developer,بله,"['Java', 'Kotlin']"
214,استخدام Junior Front-end Developer,بله,"['JavaScript', 'HTML', 'CSS']"
215,استخدام توسعه‌دهنده Front-end (Html-Css),روشنگر رایانه تهران (ایران هاست),"['HTML', 'CSS', 'JavaScript', 'Bootstrap 4', 'Sass']"
216,استخدام کارآموز برنامه‌نویس React js (اصفهان),ناواکس استدیو,"['React', 'TypeScript', 'Redux', 'Next.js']"
217,استخدام برنامه‌نویس بک‌اند (Java),مهام دانش افزار,"['Java', 'MySQL', 'Spring', 'MongoDB']"
218,استخدام .NET Developer,مشاورین نرم افزار سروشان پارس,"['Angular', 'C#', 'SQL']"
219,استخدام توسعه‌دهنده Front-end,تحلیلگران آمارد نوین,"['Vue.js', 'HTML5', 'CSS3', 'Gitlab', 'Bootstrap 5']"
220,استخدام توسعه‌دهنده golang,جاپکو,"['Ruby On Rails', 'Go', 'MySQL', 'SQL', 'Ruby']"
221,استخدام Software Engineering Team Lead,دیجی‌کالا,['PHP']
222,استخدام توسعه‌دهنده وب,آسه تجارت آسیا,"['HTML', 'JavaScript', 'CSS', 'SQL', 'React']"
223,استخدام متخصص UI\UX,سازمان برنامه و بودجه,"['Figma', 'Adobe XD', 'Photoshop', 'Adobe Indesign', 'Adobe Illustrator']"
224,استخدام توسعه‌دهنده React,شرکت کاروان ایرانیان نواندیش (کاینو),"['JavaScript', 'React', 'TypeScript', 'React Native']"
225,استخدام برنامه‌نویس .NET,طلایه داران صنعت فرایند,"['.NET', 'SQL']"
226,استخدام Python (web) Developer,میزان گستران شریف,"['Python', 'Linux']"
227,استخدام Back-end Developer (Java),آدران,"['Java', 'Go', 'Redis', 'TDD', 'Solid Principles']"
228,استخدام کارآموز تست و تضمین کیفیت نرم‌افزار QA,فناوری دراپ,"['Quality Assurance', 'Selenium', 'Postman']"
229,استخدام توسعه‌دهنده Laravel,آریا گستران,"['Laravel', 'PHP', 'MySQL', 'Git']"
230,استخدام کارشناس DevOps,پرداخت اول کیش (جیرینگ),"['Docker', 'Git', 'Kubernetes', 'Gitlab']"
231,استخدام کارشناس فنی لینوکس,ارتباطات جهانی آذران (آذران وب),"['Linux', 'Zabbix']"
